date,bitcoin
2018-10-23,2035
2018-10-24,2038
2018-10-25,2017
2018-10-26,1547
2018-10-27,1324
2018-10-28,1253
2018-10-29,1547
2018-10-30,1566
2018-10-31,1614
2018-11-01,1561
2018-11-02,1924
2018-11-03,1632
2018-11-04,1823
2018-11-05,2042
2018-11-06,1996
2018-11-07,1970
2018-11-08,1950
2018-11-09,844
2018-11-10,666
2018-11-11,667
2018-11-12,760
2018-11-13,796
2018-11-14,1205
2018-11-15,1435
2018-11-16,1138
2018-11-17,882
2018-11-18,808
2018-11-19,1334
2018-11-20,1994
2018-11-21,1583
2018-11-22,1160
2018-11-23,1341
2018-11-24,1211
2018-11-25,1855
2018-11-26,1762
2018-11-27,1632
2018-11-28,1481
2018-11-29,1321
2018-11-30,1675
2018-12-01,1405
2018-12-02,1267
2018-12-03,1566
2018-12-04,1583
2018-12-05,1531
2018-12-06,1661
2018-12-07,2265
2018-12-08,1616
2018-12-09,1454
2018-12-10,1589
2018-12-11,1521
2018-12-12,1471
2018-12-13,1507
2018-12-14,1858
2018-12-15,1563
2018-12-16,1430
2018-12-17,1733
2018-12-18,1777
2018-12-19,1909
2018-12-20,1939
2018-12-21,2102
2018-12-22,1630
2018-12-23,1593
2018-12-24,834
2018-12-25,528
2018-12-26,1677
2018-12-27,1711
2018-12-28,2182
2018-12-29,1892
2018-12-30,1758
2018-12-31,655
2019-01-01,628
2019-01-02,1941
2019-01-03,1987
2019-01-04,1978
2019-01-05,1642
2019-01-06,1680
2019-01-07,1886
2019-01-08,1850
2019-01-09,1846
2019-01-10,2067
2019-01-11,2176
2019-01-12,1781
2019-01-13,1827
2019-01-14,2043
2019-01-15,1955
2019-01-16,1884
2019-01-17,1813
2019-01-18,2030
2019-01-19,1780
2019-01-20,1755
2019-01-21,1923
2019-01-22,1943
2019-01-23,1906
2019-01-24,1934
2019-01-25,1865
2019-01-26,1608
2019-01-27,1598
2019-01-28,2041
2019-01-29,2006
2019-01-30,1874
2019-01-31,1832
2019-02-01,1637
2019-02-02,1303
2019-02-03,1400
2019-02-04,1678
2019-02-05,1967
2019-02-06,1874
2019-02-07,1756
2019-02-08,1836
2019-02-09,1668
2019-02-10,1499
2019-02-11,1598
2019-02-12,1588
2019-02-13,1563
2019-02-14,1530
2019-02-15,1631
2019-02-16,1420
2019-02-17,1427
2019-02-18,1927
2019-02-19,2097
2019-02-20,1945
2019-02-21,1847
2019-02-22,1754
2019-02-23,1656
2019-02-24,1969
2019-02-25,1765
2019-02-26,1653
2019-02-27,1522
2019-02-28,1494
2019-03-01,2048
2019-03-02,1801
2019-03-03,1772
2019-03-04,1998
2019-03-05,2083
2019-03-06,2081
2019-03-07,2084
2019-03-08,2107
2019-03-09,1940
2019-03-10,1851
2019-03-11,1990
2019-03-12,2039
2019-03-13,1920
2019-03-14,1886
2019-03-15,1875
2019-03-16,1893
2019-03-17,1734
2019-03-18,1954
2019-03-19,2065
2019-03-20,2044
2019-03-21,2092
2019-03-22,1077
2019-03-23,909
2019-03-24,866
2019-03-25,941
2019-03-26,970
2019-03-27,1090
2019-03-28,1005
2019-03-29,679
2019-03-30,584
2019-03-31,547
2019-04-01,668
2019-04-02,1480
2019-04-03,1614
2019-04-04,1191
2019-04-05,1985
2019-04-06,1710
2019-04-07,1725
2019-04-08,2059
2019-04-09,1912
2019-04-10,1881
2019-04-11,1893
2019-04-12,2049
2019-04-13,1672
2019-04-14,1633
2019-04-15,1908
2019-04-16,1903
2019-04-17,1944
2019-04-18,1915
2019-04-19,1466
2019-04-20,1327
2019-04-21,1273
2019-04-22,1404
2019-04-23,1812
2019-04-24,1651
2019-04-25,1552
2019-04-26,2039
2019-04-27,1554
2019-04-28,1467
2019-04-29,1611
2019-04-30,1606
2019-05-01,1593
2019-05-02,1664
2019-05-03,1773
2019-05-04,1523
2019-05-05,1459
2019-05-06,1477
2019-05-07,1755
2019-05-08,1760
2019-05-09,1983
2019-05-10,1007
2019-05-11,1192
2019-05-12,1265
2019-05-13,1412
2019-05-14,1675
2019-05-15,1382
2019-05-16,1280
2019-05-17,1599
2019-05-18,1138
2019-05-19,1275
2019-05-20,1315
2019-05-21,1275
2019-05-22,1181
2019-05-23,1083
2019-05-24,1499
